s,d
http://www.wikidata.org/entity/Q4961239,1997-01-23T00:00:00Z
http://www.wikidata.org/entity/Q304689,1997-01-21T00:00:00Z
http://www.wikidata.org/entity/Q21063856,1997-01-21T00:00:00Z
http://www.wikidata.org/entity/Q15080981,1997-01-14T00:00:00Z
http://www.wikidata.org/entity/Q314319,1997-01-11T00:00:00Z
http://www.wikidata.org/entity/Q20676619,1997-01-10T00:00:00Z
http://www.wikidata.org/entity/Q20745044,1997-01-09T00:00:00Z
http://www.wikidata.org/entity/Q2626989,1997-01-08T00:00:00Z
http://www.wikidata.org/entity/Q21104557,1997-01-08T00:00:00Z
http://www.wikidata.org/entity/Q13409790,1997-01-07T00:00:00Z
http://www.wikidata.org/entity/Q17987582,1997-01-05T00:00:00Z
http://www.wikidata.org/entity/Q7387353,1997-01-01T00:00:00Z
http://www.wikidata.org/entity/Q17385769,1997-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18921806,1996-12-30T00:00:00Z
http://www.wikidata.org/entity/Q22116857,1996-12-30T00:00:00Z
http://www.wikidata.org/entity/Q26251388,1996-12-27T00:00:00Z
http://www.wikidata.org/entity/Q21621401,1996-12-26T00:00:00Z
http://www.wikidata.org/entity/Q22116854,1996-12-26T00:00:00Z
http://www.wikidata.org/entity/Q519784,1996-12-21T00:00:00Z
http://www.wikidata.org/entity/Q15726942,1996-12-21T00:00:00Z
http://www.wikidata.org/entity/Q21621029,1996-12-21T00:00:00Z
http://www.wikidata.org/entity/Q47514,1996-12-17T00:00:00Z
http://www.wikidata.org/entity/Q19587938,1996-12-16T00:00:00Z
http://www.wikidata.org/entity/Q19843093,1996-12-15T00:00:00Z
http://www.wikidata.org/entity/Q6440950,1996-12-14T00:00:00Z
http://www.wikidata.org/entity/Q15264309,1996-12-12T00:00:00Z
http://www.wikidata.org/entity/Q231726,1996-12-11T00:00:00Z
http://www.wikidata.org/entity/Q19870702,1996-12-11T00:00:00Z
http://www.wikidata.org/entity/Q21622431,1996-12-10T00:00:00Z
http://www.wikidata.org/entity/Q3404088,1996-12-08T00:00:00Z
http://www.wikidata.org/entity/Q272960,1996-12-06T00:00:00Z
http://www.wikidata.org/entity/Q18393058,1996-12-06T00:00:00Z
http://www.wikidata.org/entity/Q12514113,1996-12-04T00:00:00Z
http://www.wikidata.org/entity/Q4831530,1996-11-28T00:00:00Z
http://www.wikidata.org/entity/Q18206979,1996-11-28T00:00:00Z
http://www.wikidata.org/entity/Q5442243,1996-11-27T00:00:00Z
http://www.wikidata.org/entity/Q21997692,1996-11-27T00:00:00Z
http://www.wikidata.org/entity/Q27449445,1996-11-27T00:00:00Z
http://www.wikidata.org/entity/Q4767631,1996-11-23T00:00:00Z
http://www.wikidata.org/entity/Q22006440,1996-11-21T00:00:00Z
http://www.wikidata.org/entity/Q19862493,1996-11-19T00:00:00Z
http://www.wikidata.org/entity/Q355069,1996-11-18T00:00:00Z
http://www.wikidata.org/entity/Q19882804,1996-11-18T00:00:00Z
http://www.wikidata.org/entity/Q16236076,1996-11-16T00:00:00Z
http://www.wikidata.org/entity/Q14905846,1996-11-14T00:00:00Z
http://www.wikidata.org/entity/Q22704146,1996-11-08T00:00:00Z
http://www.wikidata.org/entity/Q15090718,1996-11-06T00:00:00Z
http://www.wikidata.org/entity/Q16146320,1996-11-01T00:00:00Z
http://www.wikidata.org/entity/Q617186,1996-10-28T00:00:00Z
http://www.wikidata.org/entity/Q1800733,1996-10-28T00:00:00Z
http://www.wikidata.org/entity/Q15232890,1996-10-27T00:00:00Z
http://www.wikidata.org/entity/Q19794922,1996-10-24T00:00:00Z
http://www.wikidata.org/entity/Q15728552,1996-10-23T00:00:00Z
http://www.wikidata.org/entity/Q25758182,1996-10-21T00:00:00Z
http://www.wikidata.org/entity/Q20807482,1996-10-19T00:00:00Z
http://www.wikidata.org/entity/Q24084659,1996-10-17T00:00:00Z
http://www.wikidata.org/entity/Q16860526,1996-10-16T00:00:00Z
http://www.wikidata.org/entity/Q21623285,1996-10-12T00:00:00Z
http://www.wikidata.org/entity/Q21055220,1996-10-11T00:00:00Z
http://www.wikidata.org/entity/Q21064622,1996-10-10T00:00:00Z
http://www.wikidata.org/entity/Q20641644,1996-10-09T00:00:00Z
http://www.wikidata.org/entity/Q20978003,1996-10-09T00:00:00Z
http://www.wikidata.org/entity/Q19874440,1996-10-08T00:00:00Z
http://www.wikidata.org/entity/Q18045252,1996-10-05T00:00:00Z
http://www.wikidata.org/entity/Q20876984,1996-10-05T00:00:00Z
http://www.wikidata.org/entity/Q1093347,1996-10-04T00:00:00Z
http://www.wikidata.org/entity/Q260611,1996-10-03T00:00:00Z
http://www.wikidata.org/entity/Q17412702,1996-10-03T00:00:00Z
http://www.wikidata.org/entity/Q17103653,1996-10-02T00:00:00Z
http://www.wikidata.org/entity/Q6893621,1996-09-21T00:00:00Z
http://www.wikidata.org/entity/Q18921517,1996-09-18T00:00:00Z
http://www.wikidata.org/entity/Q23882061,1996-09-18T00:00:00Z
http://www.wikidata.org/entity/Q1331706,1996-09-17T00:00:00Z
http://www.wikidata.org/entity/Q1108456,1996-09-12T00:00:00Z
http://www.wikidata.org/entity/Q15402202,1996-09-09T00:00:00Z
http://www.wikidata.org/entity/Q6399484,1996-09-06T00:00:00Z
http://www.wikidata.org/entity/Q1449179,1996-09-05T00:00:00Z
http://www.wikidata.org/entity/Q24452309,1996-09-02T00:00:00Z
http://www.wikidata.org/entity/Q21064492,1996-09-01T00:00:00Z
http://www.wikidata.org/entity/Q16239650,1996-08-31T00:00:00Z
http://www.wikidata.org/entity/Q16228040,1996-08-27T00:00:00Z
http://www.wikidata.org/entity/Q16842131,1996-08-27T00:00:00Z
http://www.wikidata.org/entity/Q16545843,1996-08-26T00:00:00Z
http://www.wikidata.org/entity/Q18428483,1996-08-21T00:00:00Z
http://www.wikidata.org/entity/Q18044457,1996-08-17T00:00:00Z
http://www.wikidata.org/entity/Q1409540,1996-08-12T00:00:00Z
http://www.wikidata.org/entity/Q21004695,1996-08-10T00:00:00Z
http://www.wikidata.org/entity/Q26131535,1996-08-09T00:00:00Z
http://www.wikidata.org/entity/Q17712350,1996-08-07T00:00:00Z
