FID;Quartiere;DataCreazione;Latitudine;Longitudine;Indirizzo;Civico;Tipologia;Foto
704;chiaia;2019-02-11T10:05:26.754Z;40.83499;14.23622;VIA S.PASQUALE;79;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=740ab88e-332c-4e4a-b244-3011712fb2ea_1549879498.jpg
705;chiaia;2019-02-11T10:06:27.695Z;40.83499;14.23612;VIA S.PASQUALE;81;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=3750d1d0-4418-41a5-8e16-e380c47f7c13_1549879577.jpg
706;chiaia;2019-02-14T10:43:09.033Z;40.83496;14.23472;VIA BAUSAN GIOVANNI;42;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=4964a7d5-c42b-471f-84ec-bfad666cf134_1550140977.jpg
707;chiaia;2019-02-15T09:37:47.021Z;40.83495;14.24049;VIA BISIGNANO;55;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=46c83ecf-2172-4619-a68a-f34727aba282_1550223453.jpg
708;chiaia;2019-02-15T08:25:57.497Z;40.83492;14.2412;VIA ALABARDIERI;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=b0f3b194-0be3-4421-962b-24a616b336b1_1550219128.jpg
709;chiaia;2019-02-11T10:07:43.643Z;40.83488;14.236;VIA S.PASQUALE;SNC;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=4b638175-fb3a-48fd-897e-9087d3e3fd76_1549879628.jpg
710;chiaia;2019-04-08T08:33:38.155Z;40.83487;14.22884;VIA PONTANO;Snc;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=0fc5c07f-529d-4ddd-a6ef-6025f4b8eb7e_1554712351.jpg
711;chiaia;2019-03-15T10:21:32.846Z;40.83487;14.22312;VICO S.MARIA DELLA NEVE;36;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=c20c2124-d2d3-4315-aba1-195f03715cd0_1552645277.jpg
712;chiaia;2019-04-08T08:32:24.256Z;40.83487;14.22869;VIA PONTANO;3;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=9e2acb01-3f98-460d-aa49-4b48c2f15dde_1554712321.jpg
713;chiaia;2019-02-14T10:27:36.326Z;40.83486;14.23419;VIA ASCENSIONE;Snc;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=c73b485b-ef04-470a-a746-8a37843126a3_1550140041.jpg
714;chiaia;2019-02-15T08:29:33.749Z;40.83485;14.24047;VICO BELLEDONNE A CHIAIA;28;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=584f4ae7-b0dd-42ff-a9aa-a255080a168d_1550219347.jpg
715;chiaia;2019-02-11T09:23:03.831Z;40.8348;14.22992;VIA CAMPIGLIONE;11;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=70e7e1fb-6453-4e6c-9566-93ade084d455_1549876970.jpg
716;chiaia;2019-04-08T08:34:33.300Z;40.8348;14.22887;PIAZZETTA TERRACINA LAURA;1;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=29aef92c-e21d-49c1-a97c-b68bf65fa7e8_1554712460.jpg
717;chiaia;2019-02-15T08:51:21.720Z;40.83478;14.23683;VIA CARDUCCI GIOSUE';SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=30ea0289-a505-4e77-a3eb-82fb1936fac6_1550220609.jpg
718;chiaia;2019-03-15T10:02:18.674Z;40.83476;14.22587;VIA ARCO MIRELLI;23;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=15111bce-38ee-49b7-acca-9fe76250a9b6_1552644117.jpg
719;chiaia;2019-02-15T10:25:09.086Z;40.83476;14.23901;VIA FIORELLI GIUSEPPE;12A;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=0aa1f86a-e704-46e4-ab14-abc8ca96875d_1550226290.jpg
720;chiaia;2019-02-15T08:24:50.473Z;40.83476;14.24139;VIA ALABARDIERI;32;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=d7f41b48-34f2-4359-b33f-97f9bd451cf5_1550219075.jpg
721;chiaia;2019-02-15T08:23:51.723Z;40.83472;14.24152;VIA ALABARDIERI;38;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=6c6618de-8d3a-4d5b-ad98-4beb189156e7_1550219011.jpg
